School,County,religious_affiliation,funding
Alamance Christian School Graham,Alamance,Christian,"$2,166,306 "
Blessed Sacrament Catholic School Burlington,Alamance,Christian,"$1,444,976 "
Bradford Academy Mebane,Alamance,Christian,"$1,074,482 "
Burlington Christian Academy Burlington,Alamance,Christian,"$3,028,464 "
Excel Christian Academy Burlington,Alamance,Christian,"$16,960 "
Faith Christian Academy Burlington,Alamance,Christian,"$703,880 "
Grace Christian Academy Haw River,Alamance,Christian,"$1,532,198 "
Positive Day School Burlington,Alamance,Christian,"$156,009 "
Providence A Christian Montessori Community Burlington,Alamance,Christian,"$345,772 "
Millersville Christian Academy Taylorsville,Alexander,Christian,"$1,459,447 "
Apogee Anson Wadesboro,Anson,Christian,"$19,396 "
Deep Creek Christian Academy Wadesboro,Anson,Christian,"$65,980 "
Bethel Christian Academy Spruce Pine,Avery,Christian,"$672,450 "
Pungo Christian Academy Belhaven,Beaufort,Christian,"$1,116,462 "
Terra Ceia Christian School Pantego,Beaufort,Christian,"$855,388 "
Unity Christian Academy Chocowinity,Beaufort,Christian,"$861,618 "
Bethel Assembly Christian Academy Windsor,Bertie,Christian,"$748,805 "
Elizabethtown Christian Academy Elizabethtown,Bladen,Christian,"$586,025 "
Homestead Christian School Dublin,Bladen,Christian,"$51,065 "
Academy of Coastal Carolina Supply,Brunswick,Christian,"$533,943 "
Holden Beach Christian Academy Supply,Brunswick,Christian,"$102,090 "
Southeastern Christian Academy Shallotte,Brunswick,Christian,"$1,943,006 "
Asheville Catholic School Asheville,Buncombe,Christian,"$843,459 "
Asheville Christian Academy Swannanoa,Buncombe,Christian,"$2,570,873 "
Asheville-Pisgah Christian School Candler,Buncombe,Christian,"$780,156 "
Canongate Catholic High School Arden,Buncombe,Christian,"$69,330 "
Canterbury Classical School Asheville,Buncombe,Christian,"$829,552 "
Emmanuel Lutheran School Asheville,Buncombe,Christian,"$471,404 "
Mount Pisgah Academy Candler,Buncombe,Christian,"$387,847 "
Reynolds Mountain Christian Academy Asheville,Buncombe,Christian,"$1,032,718 "
Temple Baptist School Asheville,Buncombe,Christian,"$1,070,298 "
Trinity of Fairview Academy Fletcher,Buncombe,Christian,"$623,670 "
Christ Classical Academy Connelly Springs,Burke,Christian,"$1,192,263 "
Reflections of Christ Christian Academy Hildebran,Burke,Christian,"$45,850 "
Silver Creek SDA School Morganton,Burke,Christian,"$257,274 "
The Learning Center Morganton,Burke,Christian,"$104,190 "
C3 Concord Christian School Concord,Cabarrus,Christian,"$344,738 "
Concord Academy Concord,Cabarrus,Christian,"$3,809,713 "
Covenant Classical School Concord,Cabarrus,Christian,"$784,829 "
Faith Christian Academy Kannapolis,Cabarrus,Christian,"$351,011 "
Gospel Light Academy Midland,Cabarrus,Christian,"$333,452 "
Hope Academy Concord,Cabarrus,Christian,"$728,408 "
Kingdom Christian Academy Concord,Cabarrus,Christian,"$76,582 "
Kingdom Kids Empowerment Academy Concord,Cabarrus,Christian,"$15,820 "
Village Christian Academy Harrisburg,Cabarrus,Christian,"$209,480 "
Heritage Christian School Hudson,Caldwell,Christian,"$790,536 "
Pine Mountain Academy Hudson,Caldwell,Christian,"$307,231 "
A Sea of Learning Morehead City,Carteret,Christian,"$478,888 "
"Chosen Generation Christian Academy, Inc. Morehead City",Carteret,Christian,"$13,500 "
First Presbyterian School Morehead City,Carteret,Christian,"$16,184 "
Gramercy Christian School Newport,Carteret,Christian,"$1,622,016 "
Heritage Christian Academy Newport,Carteret,Christian,"$128,640 "
Nature School at Camp Albemarle Newport,Carteret,Christian,"$372,039 "
St. Egbert Catholic School Morehead City,Carteret,Christian,"$269,883 "
Christian Family Academy Conover,Catawba,Christian,"$1,097,859 "
Concordia Christian Day School Conover,Catawba,Christian,"$795,926 "
Cornerstone Christian Academy Hickory,Catawba,Christian,"$92,047 "
Hickory Christian Academy Hickory,Catawba,Christian,"$1,757,289 "
St. Stephen's Lutheran School Hickory,Catawba,Christian,"$761,283 "
Tabernacle Christian School Hickory,Catawba,Christian,"$2,532,272 "
Tree of Life Christian Academy Hickory,Catawba,Christian,"$371,533 "
University Christian High School Hickory,Catawba,Christian,"$403,294 "
WH Johnston SDA School Hickory,Catawba,Christian,"$57,040 "
AHOP Christian Leadership Academy Chapel Hill,Chatham,Christian,"$30,944 "
Haw River Christian Academy Pittsboro,Chatham,Christian,"$545,715 "
Holy Youth Christian Academy Chapel Hill,Chatham,Christian,"$433,884 "
Murphy Adventist Christian School Murphy,Cherokee,Christian,"$92,720 "
Shepherd Academy Murphy,Cherokee,Christian,"$149,364 "
Oak Grove Christian Academy Edenton,Chowan,Christian,"$246,820 "
Carolina Christian Academy Hayesville,Clay,Christian,"$189,440 "
Arise Christian Academy Mooresboro,Cleveland,Christian,"$96,714 "
Champion Christian Academy Kings Mountain,Cleveland,Christian,"$277,363 "
Charity Christian School Fallston,Cleveland,Christian,"$137,330 "
Gaston Christian - East Cleveland Campus Shelby,Cleveland,Christian,"$620,394 "
Grace Christian Academy Kings Mountain,Cleveland,Christian,"$558,366 "
Carolina Adventist Academy Whiteville,Columbus,Christian,"$85,080 "
Columbus Christian Academy Whiteville,Columbus,Christian,"$338,210 "
Annunciation Catholic School Havelock,Craven,Christian,"$480,289 "
Calvary Baptist Church School New Bern,Craven,Christian,"$324,495 "
Epiphany School of Global Studies New Bern,Craven,Christian,"$1,787,715 "
New Bern Christian Academy New Bern,Craven,Christian,"$1,863,067 "
Peletah Academic Center for Excellence New Bern,Craven,Christian,"$198,277 "
St. Paul Catholic Education Center New Bern,Craven,Christian,"$898,562 "
Strait Path Academy Dover,Craven,Christian,"$57,506 "
Temple Christian Academy New Bern,Craven,Christian,"$665,920 "
Bal-Perazim Christian Academy Fayetteville,Cumberland,Christian,"$654,162 "
Berean Baptist Academy Fayetteville,Cumberland,Christian,"$3,194,329 "
Cornerstone Christian Academy Fayetteville,Cumberland,Christian,"$1,004,608 "
Cumberland County Christian School Fayetteville,Cumberland,Christian,"$744,943 "
Destiny Now Academy Fayetteville,Cumberland,Christian,"$269,784 "
Falcon Christian Academy Falcon,Cumberland,Christian,"$164,555 "
Fayetteville Christian School Fayetteville,Cumberland,Christian,"$3,674,927 "
Flaming Sword Christian Academy Hope Mills,Cumberland,Christian,"$331,212 "
Freedom Christian Academy Fayetteville,Cumberland,Christian,"$2,884,554 "
